alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,44.224,0.0,25.531,0.0,43.914,0.0,46.346,0.0
0.1,3,44.399,0.035,26.499,0.111,44.135,0.042,46.468,0.048
0.2,3,44.517,0.058,27.656,0.245,44.293,0.03,46.509,0.073
0.3,3,44.574,0.082,28.67,0.23,44.335,0.032,46.495,0.097
0.35,3,44.616,0.098,29.429,0.289,44.39,0.008,46.475,0.114
0.4,3,44.63,0.111,29.695,0.394,44.468,0.019,46.453,0.136
0.45,3,44.685,0.129,30.643,0.675,44.488,0.021,46.432,0.15
0.5,3,44.721,0.127,31.503,0.645,44.522,0.014,46.39,0.137
0.55,3,44.701,0.12,31.809,0.711,44.532,0.049,46.332,0.122
0.6,3,44.685,0.121,32.208,0.614,44.547,0.082,46.268,0.121
0.65,3,44.632,0.117,32.455,0.518,44.549,0.112,46.176,0.118
0.7,3,44.586,0.121,32.606,0.654,44.584,0.122,46.096,0.116
1.0,3,44.281,0.162,33.13,0.977,44.584,0.196,45.674,0.133
1.25,3,43.986,0.196,33.375,1.128,44.419,0.392,45.332,0.122
1.5,3,43.592,0.211,33.188,1.216,44.249,0.489,44.921,0.132
2.0,3,42.657,0.271,32.726,0.978,43.919,0.695,43.91,0.352
