alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,43.947,0.0,17.151,0.0,46.021,0.0,46.117,0.0
0.1,3,44.072,0.047,18.055,0.14,46.164,0.04,46.233,0.072
0.2,3,44.121,0.094,19.103,0.186,46.308,0.031,46.221,0.129
0.3,3,44.111,0.121,19.939,0.14,46.351,0.039,46.155,0.17
0.35,3,44.097,0.146,20.449,0.273,46.387,0.026,46.103,0.2
0.4,3,44.074,0.156,20.746,0.385,46.45,0.034,46.038,0.224
0.45,3,44.083,0.177,21.725,0.553,46.462,0.028,45.982,0.242
0.5,3,44.062,0.18,22.416,0.57,46.493,0.012,45.899,0.238
0.55,3,44.006,0.167,22.856,0.676,46.496,0.024,45.791,0.222
0.6,3,43.959,0.173,23.481,0.508,46.509,0.048,45.681,0.226
0.65,3,43.876,0.167,23.976,0.308,46.5,0.09,45.542,0.218
0.7,3,43.804,0.172,24.27,0.431,46.532,0.123,45.421,0.217
1.0,3,43.335,0.223,25.55,0.937,46.515,0.211,44.768,0.243
1.25,3,42.879,0.294,26.485,1.2,46.329,0.432,44.184,0.305
1.5,3,42.262,0.358,26.714,1.343,46.137,0.549,43.476,0.372
2.0,3,41.011,0.383,26.922,0.978,45.762,0.765,42.045,0.493
