alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,44.224,0.0,25.531,0.0,43.914,0.0,46.346,0.0
0.1,3,44.37,0.021,26.063,0.069,44.096,0.075,46.506,0.018
0.2,3,44.502,0.049,26.984,0.114,44.271,0.072,46.607,0.058
0.3,3,44.57,0.088,27.867,0.303,44.327,0.086,46.648,0.102
0.35,3,44.614,0.062,28.587,0.083,44.337,0.08,46.651,0.093
0.4,3,44.611,0.079,28.768,0.151,44.371,0.047,46.638,0.097
0.45,3,44.618,0.083,29.087,0.283,44.4,0.064,46.623,0.109
0.5,3,44.656,0.078,30.045,0.091,44.448,0.087,46.572,0.13
0.55,3,44.663,0.095,30.455,0.103,44.483,0.114,46.54,0.149
0.6,3,44.638,0.097,30.721,0.25,44.525,0.095,46.481,0.172
0.65,3,44.611,0.105,30.83,0.227,44.583,0.088,46.428,0.189
0.7,3,44.557,0.119,30.942,0.077,44.608,0.079,46.348,0.19
1.0,3,44.222,0.153,31.144,0.155,44.613,0.062,45.917,0.22
1.25,3,43.997,0.172,31.438,0.555,44.604,0.045,45.627,0.238
1.5,3,43.728,0.243,31.345,0.706,44.592,0.019,45.354,0.306
2.0,3,42.676,0.349,30.247,0.56,44.496,0.046,44.299,0.503
