alpha,n_seeds,pooled_mean,pooled_std,moving_mean,moving_std,static_mean,static_std,appearance_mean,appearance_std
0.0,3,38.674,0.0,28.585,0.0,15.955,0.0,41.308,0.0
0.1,3,39.077,0.053,29.334,0.057,17.476,0.0,41.646,0.06
0.2,3,39.415,0.102,30.34,0.047,18.346,0.044,41.901,0.119
0.3,3,39.666,0.157,31.441,0.244,18.363,0.051,42.058,0.162
0.35,3,39.827,0.118,32.436,0.064,18.389,0.043,42.113,0.154
0.4,3,39.88,0.107,32.616,0.156,18.416,0.041,42.149,0.144
0.45,3,39.996,0.099,33.153,0.548,18.433,0.047,42.213,0.145
0.5,3,40.15,0.095,34.097,0.159,18.463,0.054,42.258,0.14
0.55,3,40.256,0.098,34.458,0.124,18.491,0.046,42.331,0.142
0.6,3,40.313,0.077,34.557,0.315,18.498,0.043,42.386,0.148
0.65,3,40.389,0.055,34.685,0.466,18.485,0.038,42.462,0.149
0.7,3,40.448,0.018,34.717,0.567,18.532,0.06,42.53,0.12
1.0,3,40.762,0.074,35.383,0.739,18.881,0.436,42.816,0.208
1.25,3,41.058,0.176,36.327,1.442,18.946,0.596,43.046,0.167
1.5,3,41.337,0.344,36.792,1.785,18.986,0.547,43.338,0.298
2.0,3,41.036,0.497,37.257,2.148,18.86,0.714,42.913,0.604
